aah	[INTERJECTION] surprise, pleasure
chief	chief
chiefed	chiefed
chiefly	chiefly
chiefs	chiefs
child	boy or girl
child	son or daughter
child	young person
child	[second, verse]
childbirth	giving birth to a baby
childbirth	[verse]
childhood	time of being young
childish	as done by a boy or girl
children	boys and girls
children	sons and daughters
chill	cold feeling
chill	a cold
chilled	made cold
chiller	make cold
chilling	making cold
chills	cold feelings
chills	colds
chilly	feeling cold
chilly	coldly
chime	sound of bells
chime	put a word in
chimed	bells sounded
chimed	put a word in
chimes	bells
chimes	puts a word in
chiming	sounding of bells
chiming	putting a word in
chimney	smoke hole
chimney	[second]
chimneys	smoke holes
chimneys	[second]
chin	chin
china	good plates, cups, etc.
china	China
china	[second]
chink	crack
chink	sound of metal on metal
chinked	made cracks full
chinking	to make cracks full
chinking	making cracks full
chinned	chinned
chinner	chinner
chinning	chinning
chins	chins
chintz	cotton cloth
chintzy	cheap
chip	bit broken out
chipped	with bits broken out
chipper	thing to take bits off
chipper	happy
chipping	taking bits off 
chips	bits broken out
chips	potatoes cut thin
chiropodist	expert in care of feet
chiropodists	experts in care of feet
chirp	sharp note of a bird
chirping	notes of birds
chirps	sharp notes of a bird
chirpy	happy
chisel	instrument for making cuts in wood
chisel	get cut
chisel	get money by trick
chiseled	got cut
chiseled	got money by trick
chiseling	getting cut
chiseling	getting money by trick
chisels	instruments for making cuts in wood
chisels	gets cut
chisels	gets money by trick
chit	slip of paper
chits	slips of paper
chivalry	great respect for women
chivalry	act like King Arthur and his men
chivalrous	upright
chlorine	chlorine
chlorine	[chemical]
chocolate	chocolate
chocolates	chocolates
choice	selection
choice	good quality
choice	[second]
choices	selections
choices	[second]
choir	company of voices
choirs	bands of voices
choke	put a stop to breathing
choke	go down wrong way
choke	control engine air
choked	put a stop to breathing
choked	gave up
choker	neck ornament
choking	putting a stop to breathing
cholesterol	fat in blood
choose	make a selection
chooses	makes a selection
choosing	making a selection
chop	cut
chopped	cut
chopper	cutter
chopper	airplane with blades on top
chopping	making cuts
choppy	rough
chops	cuts
choral	song of a group
chord	notes played together
chords	notes played together
chorus	number of voices
chorus	band of persons giving song or dance
choruses	bands of persons giving song or dance
chose	made a selection
chosen	selected
christen	give name to
christening	giving name to
christian	supporter of Christ
christian	Christian
christianity	the religion of Christ
christianity	Christianity
chromium	chromium
chromium	[chemistry]
chronic	gets no better
chronic	present all the time
chronicle	history
chronicle	story
chubby	round
chubby	fat
chuck	put away from
chuck	send violently
chucked	put away from
chucked	sent violently
chucking	putting away from
chucking	sending violently
chuckle	laugh
chuckles	laughs
chucks	puts away from
chucks	sends violently
chum	friend
chum	fish food
chummy	friendly
chums	friends
chunk	thick bit
chunks	thick bits
chunky	thick
church	church
churchgoer	churchgoer
churchgoers	churchgoers
churched	churched
churches	churches
churching	churching
churchman	churchman
churchmen	churchmen
churn	put liquid in violent motion
churn	butter making machine
churned	made like butter is
churning	putting liquid in violent motion
cider	drink made from apples
cigar	Corona
cigarette	cigarette
cigarettes	cigarettes
cigars	Coronas
cinder	burned-out coal
cinders	burned-out coal
cinema	motion picture house
cinema	motion picture theater
cinemas	motion picture houses
cinemas	motion picture theaters
cinematography	making motion pictures
cipher	0
cipher	secret writing
cipher	nobody
ciphers	secret writing
ciphers	nobodies
circa	about
circle	circle
circled	circled
circles	circles
circling	circling
circuit	journey round
circuit	way taken by electric current
circuitry	way taken by electric current
circuits	journeys round
circuits	ways taken by electric current
circular	round
circular	printed handout
circular	going round in circles
circulate	go round in a system
circulate	make a distribution
circulate	send round
circulated	got round in a system
circulated	made a distribution
circulated	sent round
circulates	goes round in a system
circulates	makes a distribution
circulates	sends round
circulating	going round in a system
circulating	making a distribution
circulating	sending round
circulation	going round
circulation	[business]
circumference	line round a circle
circumlocution	putting in a long way
circumlocution	long way round
circumlocutions	putting in long ways
circumlocutions	long ways round
circumscribed	limited
circumscribed	narrow
circumstance	fact
circumstance	condition
circumstances	facts
circumstances	conditions
circumstantial	seemingly true
circumstantial	with great detail
circumstantial	well supported with facts
circumvent	get round
circumvented	got round
circumventing	getting round
circumvents	gets round
circus	circus
circuses	circuses
cistern	place where water is stored
cisterns	places where water is stored
citation	given statement etc. 
cite	give name
cite	give example
cited	given name
cited	given example
cites	gives name
cites	gives example
cities	great towns
citify	make like great town
citing	giving name
citing	giving example
citizen	person having rights in nation
citizens	persons having rights in nation
citron	citron
city	great town
civic	of a town
civil	not military
civil	with good behavior
civilian	private person
civilian	not in fighting forces
civilians	private persons
civilians	persons not in fighting forces
civilisation	society in high stage of development
civilisation	[second]
civilisations	societies
civilisations	[second]
civilise	get to higher condition of development
civilise	make more polished in behavior
civilised	(get to) higher condition of development
civilised	made more polished in behavior
civilises	gets to higher condition of development
civilises	makes more polished in behavior
civilising	getting to high condition of development
civilising	making more polished in behavior
civilization	society in high stage of development
civilization	[second]
civilizations	societies
civilizations	[second]
civilize	get to higher condition of development
civilize	make more polished in behavior
civilized	(get to) higher condition of development
civilized	made more polished in behavior
civilizes	gets to higher condition of development
civilizes	makes more polished in behavior
civilizing	getting to high condition of development
civilizing	making more polished in behavior
clad	clothed
cladding	covered
claim	request
claim	request based on right
claim	put forward as a fact
claim	[business]
claimant	requester
claimant	requester based on rights
claimed	requested
claimed	requested based on right
claimed	[business]
claiming	requesting
claiming	saying is a fact
claiming	putting forward as a fact
claims	requests
claims	requests based on right
claims	[business]
clairvoyant	having unnatural powers of seeing
clam	water animal with hard covering
clamber	get up wall using hands and feet
clambering	getting up wall using hands and feet
clambers	gets up wall using hands and feet
clammy	cold and wet
clamor	noise
clamor	make request in a loud voice
clamored	made request in loud voice
clamoring	making noise
clamors	makes request in a loud voice
clamp	gripping apparatus
clamping	gripping
clamps	grips
clan	Scot family
clandestine	secret
clanged	gripped
clank	noise of metal on metal
clanking	noises by metal
clans	Scot families
clap	loud noise
clap	make a noise with one's hands
clapper	tongue of bell
clapping	making noise with one's hands
claret	red Bordeaux wine
clarification	be made clear
clarified	made clear
clarifies	makes clear
clarify	make clear
clarifying	making clear
clarity	very clear
clarity	clearly
clash	loud sound
clash	color out of harmony
clash	fight
clashes	loud sounds
clashes	has color out of harmony
clashes	fights
clasp	grip
class	division
class	part
class	learning group
class	place to learn
class	[social]
classed	ordered
classed	[social]
classes	divisions
classes	parts
classes	learning groups
classes	places to learn
classes	[social]
classes	[social]
classic	great
classic	living for all time
classical	Greek and Latin
classics	greats
classification	system of ordering
classified	put in order
classifies	puts in order
classify	put in order
classifying	putting in order
clatter	noise of plates
clause	one point in a statement
clauses	points in a statement
claustrophobia	fear of shut-in places
claustrophobic	in fear of shut-in places
clavicle	collarbone
claw	nail of a bird
claws	nails on a bird
clay	sticky earth
clay	[second]
claymore	long, two-edged fighting blade
claymore	sort of bursting mine
claymores	long, two-edged fighting blades
claymores	sort of bursting mines
clays	sticky earths
clays	[second]
clean	clean
cleaned	cleaned
cleaner	cleaner
cleaners	cleaners
cleanest	cleanest
cleaning	cleaning
cleanly	cleanly
cleans	cleans
cleanup	cleaning
clear	clear
clearance	getting out of way
clearance	moving
clearance	space between parts
clearanced	got out of the way
clearanced	moved
clearancing	getting out of way
clearancing	moving
cleared	cleared
clearer	clearer
clearest	clearest
cleareyed	clear thought
clearheaded	of clear mind
clearing	clearing
clearly	clearly
clears	clears
clearsighted	of clear thought
cleat	something for twisting cord about
cleavage	direction of division
cleave	cut in two
cleave	keep as friends
cleaver	meat knife
clef	music sign
clef	crack
clef	division
cleft	crack
clematis	flower that goes up wall
clemency	judging wrongdoer kindly
clench	tightly shut
clench	get fixed by hammering sideways
clenched	tightly shut
clenched	fixed by hammering sideways
clergy	men of religion
clergyman	man of religion
clergymen	men of religion
cleric	one of religion
clerical	to do with church
clerical	of writing
clerically	with writing
clerk	office worker
clerking	doing office work
clerks	office workers
clever	bright
clever	quick
clever	[second]
cleverer	brighter
cleverer	quicker
cleverer	[second]
cleverest	brightest
cleverest	quickest
cleverest	[second]
cleverly	with brains
cleverly	quickly
cleverly	[second]
cliché	common saying
click	small sharp sound
click	push key
client	person for whom one does work
client	able to request of another computer
client	[business, computer]
clients	persons for whom one does work
clients	[business, computer]
cliff	sharp, high slope
cliffs	sharp, high slopes
climate	weather condition
climates	weather conditions
climax	highest point
climb	go up
climbed	got up
climber	one who goes up
climber	plant that grows up another 
climbers	ones that go up
climbing	going up
climbs	goes up
clime	country having special weather
climes	countries having special weather
clinch	get fixed
clinch	come to grips
clinched	get fixed
clinched	without doubt
clincher	made fixed
clinching	making fixed
clinching	taking away doubt
cling	grip
clinger	not let go
clinging	gripping
clingingly	grippingly
clinic	medical place
clinical	medical
clinically	medically tested
clinics	medical place
clink	sound of glasses
clinker	bit of coal after burned
clinkers	mass of coal after burned
clinking	making sounds like glass
clinks	sounds of glasses
clip	put together
clip	cut
clip	thing to grip
clipped	gripped together
clipped	cut
clipper	cutter
clippers	cutters
clipping	putting together
clipping	cutting
clips	put together
clips	cut
clips	things to grip
clique	narrow group
cliques	narrow groups
cloak	loose coat
cloak	cover
cloaked	covered
cloaked	loose coated
cloaker	coverer
cloakers	coverers
cloaking	covering
clock	clock
clocked	clocked
clocker	clocker
clocking	clocking
clocklike	clocklike
clocks	clocks
clockwise	going round left to right
clockwork	clockwork
clockworks	clockworks
clod	bit of earth
clog	wood shoe
clog	get in way of
clog	stop up
cloister	covered walk of church building
cloister	house of order of religion
cloister	get shut up in house of religion
cloistered	shut away from society
clone	copy
clones	copies
close	near
close	not freely giving
close	shut
close	with little space between
close	all do equally well
close	get near enough for blows
close	very dear
close	warm, with little air
close	(make) come to an end
close	keeping things secret
close	take offer
close	get shorter
closed	shut
closed	limited to certain persons
closely	nearly
closely	dearly
closer	nearer
closer	warmer, with little air
closes	shuts
closes	(makes) come to an end
closest	nearest
closest	dearest
closet	small storeroom
closet	have private talk
closet	shut in
closet	cupboard
closeted	put in storeroom
closeted	had private talk
closeted	shut in
closeting	putting in storeroom
closeting	having private talk
closeting	shutting in
closets	puts in storeroom
closets	has private talk
closets	shuts
closets	cupboards
closing	shutting
closing	limiting to certain persons
closure	shut
clot	half-solid mass formed by liquid
clot	make into half-solid mass
cloth	cloth
clothbound	hard cover
clothe	put on clothes
clothe	give clothes
clothed	clothed
clothes	clothing
clothier	clothier
clothiers	trader in clothing
clothing	clothing
cloud	cloud
clouded	clouded
clouding	clouding
cloudland	thoughts in the air
cloudless	without clouds
clouds	clouds
cloudy	with clouds
clout	give blow
clout	blow
clove	unopened flower of tree
clove	cut in two
clove	keep as friends
clover	sort of plant having 3 leaves
clover	in great comfort
clown	actor with strangely painted face
clown	doing foolish tricks to make amusement
clown	person acting foolish
cloy	quickly become unpleasing
cloy	being overly sweet
cloying	quickly becoming unpleasing
cloying	being overly sweet
club	club
clubs	clubs
cluck	noise made by a fowl
clue	fact pointing to knowledge desired
clue	suggestion pointing to knowledge desired
clue	give pointers
clued	got suggestion pointing to knowledge desired
clued	gave pointer
clueing	giving pointers
clueless	without knowledge
clues	facts and suggestion pointing to knowledge desired
clues	gives pointers
clump	group of trees
clumsy	(with motions) badly controlled
clumsy	badly made for use
clumsy	badly balanced
clumsy	with a tendency to do or say the wrong thing
cluster	group of things
cluster	mass of flowers or fruit on a stem
clusters	groups of things
clusters	masses of flowers or fruit on a stem
clutch	tight grip
clutch	get in tight grip
clutch	part of machine to put other parts into operation
clutter	things about
clutter	without order
clutter	unordered mass
cluttered	with things about
cluttered	was without order
cluttered	unordered mass
cluttering	having things about
cluttering	being without order
cluttering	unordered mass
clutters	puts things about
clutters	without order
clutters	unordered masses
co-	common to
co-	together
co-education	education of boys and girls together
co-op	business group
co-operate	be working together
co-operation	working together
co-operative	ready to be working together
co-opt	take
co-ordinate	on the same level
co-ordinate	quality important
co-ordinate	position
co-ordinate	put in harmony
co-respondent	person giving cause for end of being marrierd
coach	trainer
coach	teacher of persons for competition
coach	give teaching or training
coach	covered carriage
coal	coal
coaled	coaled
coalesce	become united into one substance, thing, group
coalescing	becoming united into one substance, thing ,group
coaling	coaling
coals	coals
coarse	common
coarse	of poor quality
coarse	rough, loose
coarse	unpolished
coarse	not delicate
coarse	dirty, rough
coast	land edging the sea
coast	go down slope
coast	go on moving without power
coastguard	police for sea near land
coasting	sailing near land
coasting	going down slope
coasting	go on moving without power
coat	coat
coated	coated
coating	coating
coats	coats
coattail	lower back of coat
coattail	dependent	
coax	make requests in most pleasing way
coax	get (thing) slowly into position
coax	without forcing
coax	special wire
cobalt	cobalt
cobalt	[chemical]
cobble	round stone
cobble	round stone used in road building
cobble	put roughly together
cobble	make shoes
cobbler	shoe maker
cobblers	shoe makers
cobweb	SPIDER network or thread
cock	male fowl,
cock	male bird
cock	chief person of any group
cockney	Cockney
cocktail	cocktail
cocktails	cocktails
cocoa	powder of a sort of PALM seed
cocoa	CACAO seed
coddle	take great care of
coddle	giving special attention to (food, rest)
coddle	unnecessarily great care
code	system of laws
code	system of rules
code	system of lsigns
code	system of signs for secret writing or talk
code	general rule of behavior of a group
code	put into signs
code	orders for computer
code	[business]
coded	put into signs
coded	putting into orders for computer
codes	system of signs for secret writing or talk
codes	put into signs
codes	[business]
codify	make (laws) into a system
coding	make orders for computer
coding	putting into signs
coding	marking
coding	[business]
coed	school girl
coed	female learner
coerce	make use of force
coercion	force
coff	cough
coff	coff
coffee	coffee
coffee	[international]
coffees	coffees
coffin	chest for dead body
cog	tooth on a wheel
cognac	cognac
cognacs	cognacs
cohabitation	living together as if married
cohere	keep together
cohere	is united
cohere	be well put together
coherent	(talk) clear in sound and sense
cohesion	keeping together
cohesion	uniting
cohesive	kept together, united
cohesive	kept united
cohesive	well put together
cohort	group
cohort	company
cohort	friend
cohort	army division of old Rome
cohorts	group
cohorts	company
cohorts	friends
cohorts	army division of old Rome
coiffeur	hair-dresser
coiffure	way hair is done
coil	twist
coil	twisted into rings one on top of the other
coil	a ring of something
coin	stamped metal money
coin	make (money) by stamping metal
coin	make (new word)
coinage	system of metal money
coincide	take place at the same time
coincide	be covering the same space
coincide	be the same size and form
coincide	be in agreement
coincidence	chance agreement of events
coined	stamped metal money
coined	made (money) by stamping metal
coined	made (new word)
coining	stamped metal money
coining	making (money) by stamping metal
coining	making (new word)
coins	metal money
coins	makes (money) by stamping metal
coins	makes (new word)
coke	substance from coal
coke	COCAINE
coke	Coke
cold	cold
coldblooded	cruel
coldblooded	body heat same as all round 
colder	colder
coldest	most cold
coldly	coldly
colic	pains in stomach
collaborate	do work together
collaboration	working together
collaborator	persons working together (in writing, art)
collapse	a falling in
collapse	a sudden giving way
collapse	sudden loss of power, hope, etc.
collapsed	fell in
collapsed	suddenly gave way
collapsed	had sudden loss of power, hope, etc.
collapses	falls in
collapses	sudden giving way
collapses	has sudden loss of body power, hope, etc.
collapsible	folding
collapsing	sudden giving way
collapsing	falling in
collapsing	having sudden loss of power, hope, etc.
collar	collar
collarbone	bone near collar
collared	collared
collaring	collaring
collars	collars
collate	put together
collate	see that all pages are present
collated	put together
collated	saw that all pages are present
collates	puts together
collates	sees that all pages are present
collating	putting together
collating	seeing that all pages are present
colleague	person working with others
colleague	person having like position in same organization
colleagues	persons working with others
colleagues	persons having like position in same organization
collect	get ogether
collect	come together
collect	keep (self, thoughts) in order, under control
collect	keep under control
collected	gotten together
collected	in order
collected	self control
collecting	getting together
collection	money gotten at meeting
collection	group of examples
collection	[second]
collections	money gotten at meetings
collections	groups of examples
collections	[second]
collective	all together
collective	by a group
collector	person getting something together
collector	thing to cause coming together
collector	one keeping examples
collectors	ones getting something together
collects	gets together
collects	comes together
collects	gets (self, thoughts) in order
collects	gets  under control
collects	makes united
college	college
colleges	colleges
collide	come violently together
collier	coal miner
collier	coal-ship
colliery	coal mine
collision	coming violently together
colloquial	everyday (words)
colon	body part under stomach
colon	lower part of greater INTESTINE
colonel	military man under general
colonies	colonies
colonization	making of colonies
colonize	make colonies
colonized	made colonies
colonizes	makes colonies
colonizing	making colonies
colony	colony
color	color
colorblind	unable to see colors
color's	color's
colored	colored
coloreds	coloreds
colorer	colorer
colorfast	keeps color in washing
colorful	full of color
coloring	coloring
colorless	without color
colors	colors
colossal	of great size
colossal	a great degree
colour	color
colour	colour
colour's	color's
colour's	colour's
colourer	colorer
colourer	colourer
colouring	coloring
colouring	colouring
colours	colors
colours	colours
colt	young horse
column	tall, supporting part of structure
column	division down page
column	column
column	[computer, science, second]
columns	tall, supporting parts of structure
columns	divisions down page
columns	columns
columns	[computer, science, second]
coma	unconscious condition
coma	unnatural sleep
comatose	in unnatural sleep
comb	comb
combat	fight
combative	given to fighting
combed	combed
comber	comber
combers	combers
combination	group
combination	put together
combination	joined
combinations	groups
combine	put together
combine	group formed for controlling prices or trade
combine	get together
combine	[business]
combine	machine for getting in grain
combine	make or get united
combined	put together
combined	got in grain
combined	has at need
combined	[business]
combines	puts together
combines	groups formed for controlling prices
combines	[business]
combing	combing
combining	putting together
combining	getting in grain
combining	[business]
combs	combs
come	come
comeback	answer with humor	
comeback	quick answer
comedy	humor
comedy	play designed to give amusement
comely	(person) pleasing to the eye
comer	comer
comers	comers
comes	comes
comet	body with tail of light moving round the sun
comfort	comfort
comfortable	able to make comfort
comfortable	enough
comfortable	more than enough
comfortably	with comfort
comfortably	free from pain
comfortably	not hard or stiff
comfortably	resting in comfort
comforted	comforted
comforter	comforter
comforters	comforters
comforting	comforting
comfortingly	comfortingly
comforts	comforts
comic	designed to cause amusement
comical	causing amusement
comics	pictures giving amusement
comics	persons giving amusement
coming	coming
comma	sign for small stop (in printing, writing) 
command	give orders to
command	having authority over
command	keep control over
command	have at need
commanded	gave orders
commanded	had authority
commandeer	take (stores, etc.) for military purposes
commander	military chief 
commander	one giving orders
commanders	military chiefs
commanders	ones giving orders
commanding	giving orders to
commanding	have authority over
commanding	be in high position
commanding	give feeling of (respect))
commandment	strong law
commandments	strong laws
commands	orders
commands	keeps control over
commands	has authority over
commas	signs for small stop (in printing, writing) 
commemorate	be in memory
commemorate	keep in memory by some special act
commemoration	in memory
commence	start
commencement	start
commend	give warm approval to
commendable	having right to approval
commendation	words approving
comment	say
comment	something said about
comment	make point clear
commentary	writing
commentary	talk
commentator	person writing
commentator	person talking
commentators	persons writing
commentators	persons talking about
commented	said
commented	made point clear
commenting	saying
commenting	making point clear
comments	says
comments	makes points clear
commerce	trade
commerce	business
commercial	for trade
commercial	business
commercialize	used for money-making purpose
commercialized	use for money-making purpose
commercializes	uses for money-making purpose
commercializing	using for money-making purpose
commercially	for trade
commercially	by business
commiserate	have feeling for (person in trouble)
commission	give authority
commission	payment
commission	doing (a crime)
commission	give work
commission	body given special power
commission	make officer
commission	special power given by government
commissioned	given payment for trade
commissioned	gave work
commissioned	made officer
commissioner	high government officer
commissioning	saying ship is ready
commissioning	giving work
commissioning	making officer
commissions	payments
commissions	gives work
commissions	makes officer
commit	do (a crime)
commit	make oneself responsible
commit	get by heart
commit	put down in writing
commitment	undertaking to do
commitments	undertakings to do
commits	does (a crime)
commits	makes oneself responsible
commits	gets by heart
committed	did (a crime)
committed	made oneself responsible
committed	got by heart
committee	committee
committeeman	committeeman
committees	committees
committing	doing (a crime)
committing	making oneself responsible
committing	getting by heart
commodious	with enough room for comfort
commodity	anything able to be traded
commodity	thing commonly needed
common	common
commoner	commoner
commoners	commoners
commonly	commonly
commonplace	common
commons	commons
commonsense	commonsense
commonwealth	nation with representative government
commonwealth	group of nations with one head
commotion	outburst
commotion	noise and motion
communal	by group
communicate	give news (etc.) to
communicate	keep in touch (with)
communicate	exchange
communicate	join
communicated	gave news (etc.) to
communicated	kept in touch (with)
communicated	exchanged
communicated	joined
communicates	gives news (etc.) to
communicates	keeps in touch (with)
communicates	makes an exchange
communicating	talking
communicating	with common door
communicating	making an exchange
communication	keep in touch
communication	exchange
communication	news
communication	make connection
communication	[second]
communications	statements
communications	news
communications	make connections
communications	[second]
communion	take bread and wine
communion	memory of the death of Christ
communism	system of society with no private property
communism	work controlled for the common good
communist	one without belief in private property
communists	ones without belief in private property
communities	towns
communities	groups of persons having something in common
communities	[social]
community	town
community	group of persons having something in common
community	[social]
compact	a fixed agreement
compact	very solid (substance)
compact	take up the least possible space
companied	companied
companies	companies
companion	friend
companion	one of 2 like things
companion	living with another for payment
company	company
comparable	not far from being as good
comparative	by comparison
comparatively	by comparison
compare	make a comparison
compared	made a comparison
compares	makes a comparison
comparing	making a comparison
comparison	comparison
comparisons	comparisons
compartment	division of space
compartment	room-like
compass	instrument with needle pointing north
compass	2-legged instrument for making circles
compass	give effect to (purpose)
compass	(brain) take in
compasses	instruments with needle pointing north
compasses	2-legged instruments for making circles
compassion	feeling for one in trouble
compassionate	having feeling for one in trouble
compatibility	able to be true together
compatibility	able to have existence together
compatible	able to be true together
compatible	able to have existence together
compel	make to do (frequently by force)
compel	make take place
compelled	made to do (frequently by force)
compelled	made take place
compelling	making to do (frequently by force)
compelling	making take place
compels	makes to do (frequently by force)
compels	makes take place
compensate	balancing
compensate	make payment etc. (to person) for loss
compensation	balancing thing
compensation	thing to make payment etc. for loss
compete	take part in competition
compete	make an attempt to be better than others
competed	taken part in competition
competed	made an attempt to be better than others
competence	having necessary qualities
competent	able
competent	having the necessary qualities
competently	having necessary qualities
competes	takes part in competition
competes	makes an attempt to be better than others
competing	taking part in competition
competing	making an attempt to be better than others
competition	competition
competitions	competitions
competitive	in competition
competitor	competitor
competitors	competitors
compilation	process of getting facts together
compile	get (facts) together
compile	make high-level language into machine language
compiled	got (facts) together
compiled	made high-level language into machine language
compiler	one who gets facts (for a book, etc.)
compiler	program to make high-level language into machine language
compilers	persons who gets facts (for a book, etc.)
compilers	programs to make high-level language into machine language
compiles	gets (facts) together
compiles	makes high-level language into machine language
compiling	getting (facts) together
compiling	making high-level language into machine language
complacent	pleased with oneself
complain	make protest
complained	made protest
complaining	making protest
complains	makes protest
complaint	protest
complaint	trouble
complaint	disease
complaints	protests
complaisant	ready to do what is pleasing to others
complement	make complete
complement	full number needed
complement	amount an angle is less than right angle
complementary	amount needed to make complete
complementary	will go well together
complemented	went well together
complementing	goings well together
complements	goes well together
complete	complete
completed	completed
completely	completely
completeness	being complete
completer	completer
completers	completers
completes	completes
completing	completing
completion	make complete
complex	complex
complexes	complexes
complexion	color and quality of skin
complexion	general look of a thing
complexities	complex conditions
complexity	with a complex condition
complexity	being complex
complexly	complexly
compliance	doing as requested
compliant	with a tendency to do as requested
complicate	make complex
complicated	complex
complicates	makes complex
complicating	making complex
complication	being complex
complications	conditions being complex
complicity	wrongdoing
complicity	helping in crime 
compliment	words of wrong approval
complimentary	free
comply	do as requested
comply	do as ordered
component	part of something
component	[science]
components	parts of something
components	[science]
compose	make up (music)
composed	controlled
composed	untroubled
composer	writer of music
composers	writers of music
composes	makes up (music)
composing	making up (music)
composite	made of different part or materials
composition	art of writing
composition	what a thing is made of
composition	complex substance
composition	thing in place of natural one
composure	controlled behavior
composure	untroubled condition of mind
compote	fruit cooked in water with sugar
compound	walled-in space round buildings
compound	made of a number of things
compound	make adjustment about payment of debt
compound	mixed together to make something new
compound	[science]
compounded	made adjustment about payment of debt
compounded	made of a number of things
compounded	mixed together to make something new
compounded	[science]
compounding	making adjustment about payment of debt
compounding	mixing together to make something new
compounding	making of a number of things
compounding	making more complex
compounding	making more complex
compounding	[science]
compounds	walled-in spaces round buildings
compounds	substances made of a number of things
compounds	makes adjustment about payment of debt
compounds	mixing together to make something new
compounds	[science]
comprehend	see clearly with the mind
comprehensible	clear to the mind
comprehension	mind's power to see clearly
comprehensive	of wide range
comprehensive	complete
comprehensively	in a wide range
comprehensively	completely
compress	get forced together
compress	make shorter
compress	cloth put over wound
compressed	get forced together
compressed	make shorter
compresses	got forced together
compresses	made shorter
compressing	getting forced together
compressing	making shorter
compression	forced together
comprise	be formed of
comprise	have among its parts
comprised	formed of
comprised	had among its parts
comprises	is formed of
comprises	having among its parts
comprising	being formed of
comprising	has among its parts
compromise	middle way
compromise	agreement
compromise	put good name in doubt
compulsion	forcing person(s) to do
compulsion	because one is forced
compulsory	done under force
compulsory	necessary by rule
compunction	feeling of regret for wrongdoing
computation	act of getting numbers worked out
computational	to do with getting numbers worked out
compute	get (numbers) worked out
computed	computed
computer	computer
computerise	make computer-like
computerised	made computer-like
computerises	makes computer-like
computerising	making computer-like
computerize	make computer-like
computerized	made computer-like
computerizes	makes computer-like
computerizing	making computer-like
computers	computers
computes	computes
computing	computing
comrade	friend
con	trick
con-	together
concatenate	get joined together
concatenated	got joined together
concatenates	gets joined together
concatenating	getting joined together
concave	curving in
conceal	put out of view
conceal	keep secret
concealed	put out of view
concealed	kept secret
concealing	putting out of view
concealing	keeping secret
conceals	puts out of view
conceals	keeps secret
concede	give way on
concede	let have by giving way on
conceded	gave way on
conceded	let have by giving way on
concedes	gives way on
concedes	lets have by giving way on
conceding	giving way on
conceding	letting have by giving way on
conceit	over-high opinion of oneself
conceivable	able to get in mind
conceivably	in a way able to get in mind
conceive	get (idea) formed in mind
conceive	become with young
conceived	got (thought) formed in mind
conceived	became with young
conceives	gets (thought) formed in mind
conceives	becomes with young
conceiving	getting (thought) formed in mind
conceiving	becoming with young
concentrate	get together at one point
concentrate	come together at one point
concentrate	put all one's power of attention (on something)
concentrate	make stronger (liquid) by boiling away, etc.
concentrated	made stronger (liquid) by boiling away, etc.
concentrated	put all one's power of attention (on something)
concentrated	got, came together at one point
concentrates	makes stronger (liquid) by boiling away, etc.
concentrates	puts all one's power of attention (on something)
concentrates	comes together at one point
concentrates	gets together at one point
concentrating	making stronger (liquid) by boiling away, etc.
concentrating	putting all one's power of attention (on something)
concentrating	getting, coming together at one point
concentration	strong amount
concentration	power of putting all of one's attention 
concentration	[social]
concept	idea
concept	idea of a quality common to a group
concept	[second]
conception	idea
conception	forming an idea
conception	becoming with young
concepts	ideas
concepts	ideas of a quality common to a group
concepts	[second]
conceptual	with the idea
concern	have a relation to
concern	be about
concern	connection
concern	interest (in)
concern	be important to
concern	business house
concern	troubled about
concern	having a part in
concerned	troubled about
concerned	had a part in
concerned	interests (in)
concerning	about
concerning	having a part in
concerns	has a part in
concerns	troubles about
concerns	business houses
concert	united condition
concert	giving of music, songs, in public
concert	make design for (in agreement)
concerted	done together
concerto	music for one chief instrument
concerts	music given in public
concession	let have by giving way
concession	land rights
conciliate	get approval
conciliate	kind feeling of
conciliate	make peace by way of pleasing acts
conciliation	making peace (between persons)
concise	small
concise	saying in small number of words
concisely	with a small number
conclave	meeting
conclave	group for private discussion
conclude	(make) come to an end
conclude	come to belief by reasoning
conclude	make
concluded	(made) come to an end
concluded	came to belief by reasoning
concluded	made
concludes	(makes) come to an end
concludes	comes to belief by reasoning
concludes	makes
concluding	(making) come to an end
concluding	coming to belief by reasoning
concluding	making
conclusion	opinion come to by reasoning
conclusions	opinions by reasoning
conclusive	putting an end to doubt
concoct	make up
concoct	make by adding substances
concoction	mixed liquid
concord	harmony
concord	agreement
concrete	solid
concrete	building material made of small stones, sand, and CEMENT
concrete	to do with material things
concrete	with facts
concrete	material, as against ideas
concrete	[second]
concur	be in agreement
concur	be together
concur	take place together
concurrent	taking place together
concurrently	taking place together
concussion	violent shock
concussion	damage to brain by a blow
condemn	say (a person) is wrong
condemn	give decision ordering punishment
condemn	say (with authority) that (a house) is not in good enough condition to use
condemnation	say (a person) is wrong
condemnation	punishment
condemnation	give decision ordering punishment
condemned	said (a person) is wrong
condemned	gave decision ordering punishment
condemned	said (with authority) that (a house) is not in good enough condition to use
condemning	saying (a person) is wrong
condemning	giving decision ordering punishment
condemning	saying (with authority) that (a house) is not in good enough condition to use
condemns	says (a person) is wrong
condemns	gives decision ordering punishment
condemns	says (with authority) that (a house) is not in good enough condition to use
condense	get into smaller space
condense	make from thin liquid into thick
condensed	gotten into smaller space
